NCBI_ID	MV_FEI1_t1Q14	MV_FEI2_t1Q14	MV_FEI3_t1Q14	MV_FEI4_t1Q14	MV_FEI4_t2Q15	MV_FEI5_t1Q14	MV_FEI5_t2Q14	MV_FEI5_t3Q15	MV_FEM1_t1Q14	MV_FEM2_t1Q14	MV_FEM3_t1Q14	MV_FEM4_t1Q14	MV_FEM4_t2Q15	MV_FEM5_t1Q14	MV_FEM5_t2Q14	MV_FEM5_t3Q15	MV_MIM1_t1M14	MV_MIM2_t1M14	MV_MIM3_t1M14	MV_MIM4_t1M14	MV_MIM4_t2F15	MV_MIM5_t1M14	MV_MIM5_t2M14	MV_MIM5_t3F15
2039302	0	0	0	0	0	0	0	0	0	0.12588	0	0	0	0	0	0	0	0	0	0	0	0	0	0
209879	0	0	0	0	0	0	0	0	0	0.08798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
508459	0	0	0	0	0	0	0	0	0	0.04011	0	0	0.01291	0	0	0	0	0	0	0	0	0	0	0
1635148	0	0	0	0	0	0	0	0	0	0.03387	0.0834	0	0	0	0	0	0	0	0	0	0	0	0	0
1017280	0	0	0	0	0	0	0	0	0	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
194	0	0	0	0	0	0	0	0	0	0	0.12764	0	0	0	0	0	0	0	0	0	0	0	0	0
1432051	0	0	0	0	0	0	0	0	0	0	0.04284	0	0	0	0	0	0	0	0	0	0	0	0	0
543311	0	0	0	0	0	0	0	0	0	0	0.02362	0	0	0	0	0	0	0	0	0	0	0	0	0
836	0	0	0	0	0	0	0	0	0	0	0.01959	0	0	0	0	0	0	0	0	0	0	0	0	0
100883	0	0	0	0	0	0	0	0	0	0	0.01721	0	0	0	0	0.11087	0	0	0	0	0	0	0	0
158846	0	0	0	0	0	0	0	0	0	0	0	0.02663	0.72445	0	0	0	0	0	0	0	0	0	0	0
1380	0	0	0	0	0	0	0	0	0	0	0	0	0.01359	0	0	0	0	0	0	0	0	0	0	0
66831	0	0	0	0	0	0	0	0	0	0	0	0	0.00694	0	0	0	0	0	0	0	0	0	0	0
990721	0	0	0	0	0	0	0	0	0	0	0	0	0.00643	0	0	0	0	0	0	0	0	0	0	0
84108	0	0	0	0	0	0	0	0	0	0	0	0	0.00428	0	0	0	0	0	0	0	0	0	0	0
1279	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	100	100	84.06476	0	0	0	0	0
830	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65344	0	3.91544	0	0	0	0	0	0	0	0
1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01082	0	0	0	0	0	0	0	0	0	0
2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00747	0	0.2701	0	0	0	0	0	0	0	0
1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00691	0	0.00874	0	0	0	0	0	0	0	0
1649459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08159	0	0	0	0	0	0	0	0	0
156454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492	0	0	0	0	0	0	0	0	0
568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02343	0	0	0	0	0	0	0	0	0
1506577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00296	0	0	0	0	0	0	0	0	0
191303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01564	0	0	0	0	0	0	0	0
61170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00199	0	0	0	0	0	0	0	0
482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56849
475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51055
32257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34628
46123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08338
1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04716
