"attribute"	"attribute_group"	"validity"	"ontology"	"description"
"DSMZ Medium 1000"	"growth medium"	"logical"	"MICRO:0001609"	"A minerals-salts, liquid culture medium comprised of sodium chloride, potassium phosphate, calcium chloride, ammonium chloride, magnesium sulfate, magnesium chloride, potassium chloride, ferric sulfate, nickel chloride, sotium selenate, sodium silicate, and trace minerals. Prepared under at atmosphere of hydrogen and carbon dioxide."
"lb medium"	"growth medium"	"logical"	"MICRO:0000562"	"An organic-rich, liquid microbiological culture medium containing tryptone, yeast extract, and sodium chloride. Used to cultivate Escherichia coli."
"modified shieh agar"	"growth medium"	"logical"	NA	NA
"mrs agar"	NA	"logical"	"MICRO:0000554"	"A slightly-acidic, organic-rich, solid microbiological culture medium containing peptones, egg extract, yeast extract, glucose, Tween 80, and minerals salts. Used for the cultivation of Lactobacilli."
"mueller-hinton"	"growth medium"	"logical"	"MICRO:0000557"	"An organic-rich, solid microbiological culture medium containing beef extract, casein hydrolysate, and starch. Used for the cultivation of Neisseria."
"pyg medium"	"growth medium"	"logical"	"MICRO:0000547"	"An organic-rich, liquid microbiological culture medium containing casitone and yeast extract. Used for the growth of Pseudarcicella sp"
"sm agar"	"growth medium"	"logical"	"MICRO:000531"	"A liquid microbiological culture medium containing gelatin, magnesium sulfate, and sodium chloride. Used for the storage and dilution of Escherichia coli bacteriophage lambda."
"staley pyg"	"growth medium"	"logical"	NA	NA
"tryptic soy broth"	"growth medium"	"logical"	"MICRO:0000113"	"An organic-rich, liquid culture medium comprised of pancreatic digest of casein (casitone), papaic digest of soybean (soy peptone), dextrose (D-glucose), sodium chloride, and dipotassium phosphate (potassium dibasic phosphate)."
"tryptic soy agar"	"growth medium"	"logical"	"MICRO:0000114"	"An organic-rich, solid medium containing casitone (pancreatic digest of casein), Phytone peptone (papaic digest of soybean), and sodium chloride. Used for the cultivation of aerobic heterotrophic microorganisms."
"tryptic soy broth"	"growth medium"	"logical"	"MICRO:0000113"	"An organic-rich, liquid culture medium comprised of pancreatic digest of casein (casitone), papaic digest of soybean (soy peptone), dextrose (D-glucose), sodium chloride, and dipotassium phosphate (potassium dibasic phosphate)."
