NCBI_ID	Rank	Parent_NCBI_ID	Parent_name	Parent_rank
1095012	species	1485	Clostridium	genus
1095009	species	1485	Clostridium	genus
1094980	strain	420950	Methanolobus psychrophilus	species
1094755	species	773	Bartonella	genus
109472	species	109471	Bisgaardia	genus
109465	species	1839	Nocardioides	genus
1094555	strain	807	Bartonella elizabethae	species
1094553	strain	33044	Bartonella doshiae	species
1094551	strain	52764	Bartonella alsatica	species
1094508	strain	28896	Thermoanaerobacterium saccharolyticum	species
1094497	strain	33047	Bartonella vinsonii	species
1094491	strain	155194	Bartonella bovis	species
1094489	strain	388640	Bartonella australis	species
1094466	strain	312277	Flavobacterium indicum	species
1094342	species	3020832	Alloalcanivorax	genus
1094188	strain	1515	Acetivibrio thermocellus	species
1094170	strain	573	Klebsiella pneumoniae	species
1094	species	1091	Chlorobium	genus
1093787	strain	287	Pseudomonas aeruginosa	species
109330	species	2013	Nocardiopsis	genus
109329	species	2013	Nocardiopsis	genus
109326	genus	3030910	Anaerovoracaceae	family
109324	genus	68298	Syntrophomonadaceae	family
1093099	strain	196	Campylobacter fetus	species
1093097	strain	408015	Streptomyces xiamenensis	species
109266	species	110103	Anabaenopsis	genus
109262	genus	255526	Halothiobacillaceae	family
109232	species	780	Rickettsia	genus
1092	species	1091	Chlorobium	genus
109169	genus	2904606	Desulfofabaceae	family
109168	genus	2886822	Desulfocapsaceae	family
109166	genus	213119	Desulfobacteraceae	family
1091501	strain	1773	Mycobacterium tuberculosis	species
1091500	strain	1773	Mycobacterium tuberculosis	species
1091497	strain	29575	Taylorella equigenitalis	species
1091495	strain	84590	Taylorella asinigenitalis	species
1091494	strain	271065	Methylotuvimicrobium alcaliphilum	species
1091046	strain	36809	Mycobacteroides abscessus	species
1091045	strain	1747	Cutibacterium acnes	species
1091042	strain	305	Ralstonia solanacearum	species
1091041	strain	1390	Bacillus amyloliquefaciens	species
1091	genus	191412	Chlorobiaceae	family
1090974	strain	33970	Melissococcus plutonius	species
1090322	strain	2221	Methanolobus tindarius	species
1090320	strain	152682	Sphingomonas melonis	species
1090319	strain	257003	Sphingomonas phyllosphaerae	species
1090317	strain	152682	Sphingomonas melonis	species
1090316	strain	152682	Sphingomonas melonis	species
109	genus	41294	Nitrobacteraceae	family
108981	species	469	Acinetobacter	genus
108980	species	469	Acinetobacter	genus
1089553	strain	85874	Thermacetogenium phaeum	species
1089552	strain	1087	Rhodovibrio salinarum	species
1089551	strain	404900	Geminicoccus roseus	species
1089550	strain	503170	Salisaeta longa	species
1089549	strain	526067	Haloglycomyces albus	species
1089548	strain	94009	Thermicanus aegyptius	species
1089547	strain	451374	Rudanella lutea	species
1089546	strain	1850	Actinopolyspora halophila	species
1089545	strain	208443	Amycolatopsis balhimycina	species
1089544	strain	346045	Amycolatopsis benzoatilytica	species
1089456	strain	287	Pseudomonas aeruginosa	species
1089455	strain	746032	Mobilicoccus pelagius	species
1089454	strain	2055	Gordonia terrae	species
1089453	strain	36823	Gordonia sputi	species
1089446	strain	1719	Corynebacterium pseudotuberculosis	species
1089444	species	204037	Dickeya	genus
1089439	strain	270495	Fangia hongkongensis	species
1088883	strain	622488	Francisella hispaniensis	species
1088875	strain	28110	Francisella philomiragia	species
1088869	strain	479935	Gluconobacter morbifer	species
1088868	strain	479936	Commensalibacter intestini	species
1088721	strain	205844	Novosphingobium pentaromativorans	species
1088720	strain	47715	Lacticaseibacillus rhamnosus	species
108819	species	68335	Coprothermobacter	genus
1087481	strain	59893	Paenibacillus peoriae	species
1087479	strain	2751	Carnobacterium maltaromaticum	species
1087454	strain	1719	Corynebacterium pseudotuberculosis	species
1087453	strain	1719	Corynebacterium pseudotuberculosis	species
1087452	strain	1719	Corynebacterium pseudotuberculosis	species
